"path","title","count","uniques"
"  /jdemetra/rjdemetra/issues","  Issues · jdemetra/rjdemetra · GitHub",26,10
"  /jdemetra/rjdemetra/releases","  Releases · jdemetra/rjdemetra · GitHub",13,8
"  /jdemetra/rjdemetra/issues/38","  User defined Trading Days · Issue #38 · jdemetra/rjdemetra · GitHub",11,4
"  /jdemetra/rjdemetra/graphs/contributors","  Contributors to jdemetra/rjdemetra · GitHub",10,4
"  /jdemetra/rjdemetra/tree/master/R","  rjdemetra/R at master · jdemetra/rjdemetra · GitHub",8,7
"  /jdemetra/rjdemetra/issues/42","  x11.fcasts unable to be set to 0 or 1 · Issue #42 · jdemetra/rjdemetra · GitHub",7,4
"  /jdemetra/rjdemetra/pulse","  Pulse · jdemetra/rjdemetra · GitHub",6,5
"  /jdemetra/rjdemetra/blob/master/README.Rmd","  rjdemetra/README.Rmd at master · jdemetra/rjdemetra · GitHub",6,3
"  /jdemetra/rjdemetra/commits","  Commits · jdemetra/rjdemetra · GitHub",6,3
