"path","title","count","uniques"
"  /jdemetra/rjdemetra/issues","  Issues · jdemetra/rjdemetra · GitHub",9,5
"  /jdemetra/rjdemetra/issues/49","  loglik not shown in summary · Issue #49 · jdemetra/rjdemetra",7,3
"  /jdemetra/rjdemetra/graphs/traffic","  Traffic · jdemetra/rjdemetra",4,1
"  /jdemetra/rjdemetra/commits","  Commits · jdemetra/rjdemetra",3,1
"  /jdemetra/rjdemetra/tree/master/man","  rjdemetra/man at master · jdemetra/rjdemetra · GitHub",3,1
"  /jdemetra/rjdemetra/blob/master/README.Rmd","  rjdemetra/README.Rmd at master · jdemetra/rjdemetra · GitHub",2,2
"  /jdemetra/rjdemetra/tree/master/docs","  rjdemetra/docs at master · jdemetra/rjdemetra · GitHub",2,2
"  /jdemetra/rjdemetra/tree/master/R","  rjdemetra/R at master · jdemetra/rjdemetra",2,2
"  /jdemetra/rjdemetra/blob/master/man/compute.Rd","  rjdemetra/compute.Rd at master · jdemetra/rjdemetra · GitHub",2,1
