"path","title","count","uniques"
"  /jdemetra/rjdemetra/issues","  Issues · jdemetra/rjdemetra · GitHub",29,6
"  /jdemetra/rjdemetra/pulls","  Pull Requests · jdemetra/rjdemetra · GitHub",18,4
"  /jdemetra/rjdemetra/issues/42","  x11.fcasts unable to be set to 0 or 1 · Issue #42 · jdemetra/rjdemetra · GitHub",11,4
"  /jdemetra/rjdemetra/issues/39","  Preliminary check in SA models · Issue #39 · jdemetra/rjdemetra",10,2
"  /jdemetra/rjdemetra/tree/master/docs","  rjdemetra/docs at master · jdemetra/rjdemetra · GitHub",9,8
"  /jdemetra/rjdemetra/pull/45","  Correction of bugs around user-defined calendar regressors by AQLT · Pull Req...",7,2
"  /jdemetra/rjdemetra/compare/master...AQLT:master","  Comparing jdemetra:master...AQLT:master · jdemetra/rjdemetra",7,1
"  /jdemetra/rjdemetra/tree/master/R","  rjdemetra/R at master · jdemetra/rjdemetra · GitHub",6,4
"  /jdemetra/rjdemetra/pull/44","  Correction of the default spec of TramoSeats (\""RSA3\"" misspelt) by palatej · P...",6,3
