"path","title","count","uniques"
"  /jdemetra/rjdemetra/issues","  jdemetra/rjdemetra: R interface to JDemetra+",44,10
"  /jdemetra/rjdemetra/issues/39","  Problems with RJDemetra+ Code · Issue #39 · jdemetra/rjdemetra",22,11
"  /jdemetra/rjdemetra/issues/40","  Error while installing the pagkage · Issue #40 · jdemetra/rjdemetra",17,6
"  /jdemetra/rjdemetra/tree/master/R","  rjdemetra/R at master · jdemetra/rjdemetra · GitHub",11,7
"  /jdemetra/rjdemetra/issues/38","  User defined Trading Days · Issue #38 · jdemetra/rjdemetra",11,4
"  /jdemetra/rjdemetra/graphs/traffic","  Traffic · jdemetra/rjdemetra",11,1
"  /jdemetra/rjdemetra/blob/master/README.Rmd","  rjdemetra/README.Rmd at master · jdemetra/rjdemetra · GitHub",10,3
"  /jdemetra/rjdemetra/tree/master/docs","  rjdemetra/docs at master · jdemetra/rjdemetra · GitHub",7,4
"  /jdemetra/rjdemetra/pulls","  Pull Requests · jdemetra/rjdemetra",6,3
