"referrer","count","uniques"
"  github.com",54,20
"  ec.europa.eu",32,18
"  cran.r-project.org",13,2
"  jdemetra.github.io",9,4
"  ecosia.org",7,1
"  t.co",2,2
"  sylwiagrudkowska.github.io",2,2
"  DuckDuckGo",2,1
"  com.google.android.gm",1,1
