"referrer","count","uniques"
"  ec.europa.eu",46,19
"  Google",27,6
"  statistikat.github.io",8,2
"  rdrr.io",5,3
"  jdemetra.github.io",3,1
"  cran.r-project.org",2,2
"  ecosia.org",2,1
